Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Payment_Type,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
fbca73c2-20dd-4fa3-8f58-896fa095b98b,2c8c616d-a738-44d3-a2f1-e853b63dcb00,Anthony Singh,108b3f71-5c83-4573-931c-5dad36155b6b,Sports,Tennis Racket,UPI,5,438.28,2020-12-31 04:42:58,UK,Manchester,eBay,bc022562-1134-4730-bf04-93087207b99f,Y,Payment Successful
d4876263-fda6-4238-81ae-9c90ee15bc88,30c90575-c9df-42dd-a120-0cb0b34085e6,Erik Phillips,530548bf-076d-456e-89e4-28749b8a6dd5,Sports,Gym Gloves,Card,4,259.57,2023-08-22 07:36:21,Canada,Ottawa,Walmart,d2e2a42e-d200-4e39-afcd-c95ddca9687b,N,Card expired
86a41b72-a925-4c67-8307-ebcfe6ad58ac,30da8fa4-acf9-43f9-a3f0-c70902ad2ffb,Carrie Wilson,422eb5af-b232-427d-82ba-ba763d9d12c3,Electronics,Smartphones,UPI,1,599.26,2022-06-06 10:35:39,USA,New York,Walmart,4014dacc-ec36-437a-9580-1305f27221bc,Y,Payment Successful
0c93d203-f380-42b8-99d4-1b75396dbb5f,e97cb864-ba29-4da0-8163-d3b46b93b102,Larry French,c4438da1-aa10-496c-a5a1-b174f4cf34b8,Books,Magazines,UPI,4,547.56,2021-12-23 07:17:00,Germany,Hamburg,Amazon,ec024601-7ccb-46cf-a518-d04389153b24,N,Payment gateway error
494f4c64-0f22-49be-9ad6-b9f6ef127f17,79ba68b5-f38f-4ce0-8401-0a10a5e27082,Rebecca Wright,15c8b31b-4a40-4222-a03a-96c2201a9307,Electronics,Smartphones,Internet Banking,3,82.41,2021-08-12 21:52:15,Canada,Ottawa,Shopify,0966d75b-977c-4ebb-85af-17dcb02b6794,N,Insufficient funds
1c749bf8-8b3e-4451-859b-74d0bd8db0be,ec1cdfd4-3821-4bb7-9d01-65d754c38d3c,Rachel Bowen,474d9e77-ebe1-44f9-8443-4db095fb485b,Clothing,Sweaters,Internet Banking,1,376.78,2024-01-01 01:23:30,Canada,Vancouver,Shopify,e47285df-8e94-4665-8a8e-0046c3f47901,Y,Payment Successful
87470cb8-405d-462a-9eed-d1d223f56032,5997ec90-5254-48b5-b953-a0fe3efb9087,Lauren Wolf,9f8df175-e93a-4f97-8397-df852390a6c9,Books,Textbooks,UPI,5,580.79,2023-10-23 03:04:45,Germany,Hamburg,Shopify,d503ac97-4f63-4be7-bbcb-59316d802d8d,N,Payment gateway error
d0786ba6-dbed-4c5f-9793-78b048d1f6f9,a793ac14-3b11-4032-9911-758c07961e39,Frank Bennett,27b6c1d0-bdeb-43a2-82a1-bc1ed86ac893,Sports,Tennis Racket,Card,3,803.95,2020-04-05 09:02:43,Germany,Munich,Flipkart,b40943ef-9c46-4ba2-8ad8-c36538da0871,N,Card expired
922bb981-d53e-4627-a19a-2e9f41a0ab6d,aadac543-9d43-4f41-bf01-e32abfb49af8,Ryan Lyons,2b82dc57-26d0-4c45-8256-72300cded75f,Clothing,Socks,Internet Banking,2,184.84,2023-06-25 08:19:02,India,Chennai,Flipkart,97f17084-235f-4e6a-910d-2faff6ee616d,N,Insufficient funds
12926442-007e-4520-a054-a3c9d31ef529,d63e9659-36ae-43df-9ea0-31882e8b7246,Cody Holland,142a4b37-33be-4888-bf6b-78bc188f6958,Home & Kitchen,Shampoo,UPI,5,960.26,2022-06-27 01:00:38,Germany,Cologne,Flipkart,4d87d927-44a6-4fd0-9ac5-6d9d5457ebd6,N,Insufficient funds
ba5a72fa-7db6-4289-a222-85f947dca9c5,de1f910d-fa19-4782-8075-fd1fdfc1b939,Scott Barry,0e489932-91d7-4b53-8d64-6ef4e1bde413,Electronics,Chargers,Internet Banking,3,70.48,2022-01-13 18:32:22,Canada,Vancouver,Flipkart,0482f58e-457e-479d-9c68-eff708fc8349,N,Payment gateway error
00c8f1dd-9155-4e09-a6fc-9979f7d07cd9,ad3b39eb-c6de-449b-8cce-ca5d3a5a545d,Brian Lynn,038678a6-d405-4a30-bcd9-dc2922fa68d4,Books,Fiction,Card,5,634.2,2024-07-05 01:34:33,Canada,Montreal,Amazon,3daababa-979f-48d3-9835-d53db64a1519,N,Insufficient funds
906b05a0-9f17-4449-a70a-3d0489c56976,ef68785a-8d3c-4c6a-a5e0-c2171d1ee32b,Amy Brown,2c820826-3409-46ae-be89-853f6c2c5eae,Home & Kitchen,Shampoo,UPI,4,853.57,2020-01-12 07:59:21,UK,Manchester,Shopify,710b5622-0012-40d6-9101-e5ae05242a41,N,Insufficient funds
aea1de98-a29c-4677-a0a8-5ad10fd4959d,9c3c722a-036f-4d72-ad5f-0c653db5e99e,Christopher Dickerson,3d185d9c-289b-4ebd-90ea-5dee583fb39f,Home & Kitchen,Toothpaste,UPI,2,879.86,2024-05-08 02:41:20,USA,Los Angeles,Flipkart,2c0df6e3-0e27-4333-af99-60d76776f34d,N,Insufficient funds
654cb1e4-a396-4dc3-9d32-dfb6761f3baa,4a2de572-614f-4c54-bb3b-c4618564be83,Kristi Solis,d946b070-c4d8-4554-96ca-9280b8009b48,Home & Kitchen,Shampoo,Internet Banking,4,354.7,2022-08-01 20:33:04,Germany,Berlin,eBay,30789541-c025-42be-bb9f-2048b52aedc5,N,Insufficient funds
39ac48d8-92bc-4598-a3bf-4bc1526f978f,e7355160-7b66-4692-a6b3-5b7333cc0df5,James Porter,b752ddc3-b3e8-4532-ba9c-e544d22e556e,Books,Fiction,UPI,2,979.05,2021-05-30 19:42:52,USA,Houston,Amazon,89fc5cdb-e264-496d-8899-5dd347f9e2b4,N,Card expired
081f0f7d-c814-4342-ab3b-656ea6bd4192,e03fc619-0fae-4626-9ae6-ef6008001693,Jodi Ward,4b6a503e-aa5b-40fe-a59b-19136b6c2aec,Sports,Cricket Bat,UPI,5,546.95,2022-08-10 20:43:13,UK,Manchester,eBay,bded8fb6-2d5e-4a27-80ca-686569791ae9,Y,Payment Successful
51f6e5fb-75f3-4872-9e84-b2f3b25d67df,9aeb8e63-7c0e-4174-a91e-c3274151f41c,Marcus Taylor,930fd805-055b-4e2d-ab7b-c41285b66a78,Sports,Gym Gloves,Wallet,4,62.73,2024-04-08 22:23:10,Canada,Vancouver,Shopify,cd97c017-69d5-4909-a7d5-1c7cc98c14bc,N,Card expired
e521d8b9-d1d8-4dfd-b254-159f4c5ad750,3c017bb7-3ceb-4d04-8f3a-9002c01e19e1,Alexander Barker,76969c5f-4501-47c0-9873-fdad98dadc90,Electronics,Headphones,UPI,4,793.35,2023-07-19 00:12:54,Germany,Frankfurt,Flipkart,c966126d-6329-4ce5-98cf-a715a8dd7a01,N,Payment gateway error
142cb029-d0a6-48a5-a899-955776bb0231,bfe8abd5-a60f-4bce-9281-1327c4ec3c6c,Calvin Holloway,f88d77ea-c4d8-4b4f-8e3f-434eb96e248c,Clothing,Sweaters,UPI,3,901.11,2023-08-20 09:47:36,USA,New York,Walmart,b5d50927-828f-4d48-93dc-4aa8d5422ab8,Y,Payment Successful
66ab441d-dbe9-43da-a068-e8b62bf22b4a,16bcee58-e45c-49b4-867c-872b8bf837d2,Joseph Evans,884bb9ab-d362-4e1e-a75a-56266f9977aa,Sports,Cricket Bat,UPI,2,690.65,2024-06-19 08:56:25,India,Mumbai,Amazon,87a6a306-10e2-4b52-92e2-2e2f47c354ce,N,Insufficient funds
00008498-fb1f-46be-8514-4dedf34e668e,41f50a6d-05b3-4a68-b5f7-49636f6a5c3a,Kyle Jackson,88503160-e07c-4926-aa0d-64542b0ff991,Clothing,Socks,Wallet,4,491.27,2021-11-02 04:49:54,UK,Manchester,Flipkart,7119c940-9a51-4f75-b708-8ce779ea888d,Y,Payment Successful
df229b28-e075-4a43-9867-528192f75abd,1d26453e-b246-4114-a514-a6fbbdb47d9c,Cynthia Jenkins,9ccea885-7dd9-4975-93ea-e7119f06eef4,Clothing,Jeans,UPI,2,764.18,2021-01-12 09:23:27,Germany,Cologne,eBay,d60018e2-9bca-4382-b13c-5fa1f7b341f4,Y,Payment Successful
1563924d-50d0-4806-a679-fc29540dca20,80b8a3f4-d3f5-47a1-a7a1-0cad744afda0,April French,89b8dc4f-b345-4511-b018-eab2e33c572a,Clothing,T-Shirts,UPI,1,316.32,2020-07-30 12:29:08,Germany,Munich,eBay,b4f34920-90e5-4193-95a0-04e1a3155b68,Y,Payment Successful
205e8591-432d-4738-9588-55a05f6e99e2,e5d7fda4-215d-4e30-a418-e7cc8e2d5292,Jacqueline Mcdonald,5ffc5c2c-b615-484c-97a9-8bafee845659,Clothing,T-Shirts,Wallet,5,855.6,2021-07-01 21:43:26,Germany,Munich,eBay,d9023215-3b2a-4d6c-8ad0-27bb55226976,N,Insufficient funds
c19d487d-b42f-405b-9887-1d2a73365cfb,cb65fde4-5604-43b1-bd36-8ab65e6d780e,Tamara Green,d09bbd84-d2da-4c73-930f-295f67bba8fa,Home & Kitchen,Detergent,Card,2,606.38,2022-11-01 10:03:22,UK,Birmingham,Walmart,250ffee7-240f-4cac-9e58-acc277814c63,Y,Payment Successful
52c98a53-a62c-4a28-ba43-f86a3b991d01,819609c4-07c1-47e2-8399-1950bffd67e1,Natalie Harrison,c832b3a0-2712-400b-a79e-d3b25a2d7931,Electronics,Chargers,Wallet,4,509.58,2023-09-02 11:55:43,Canada,Montreal,Shopify,fd7143a2-aa10-4b56-8abe-0db576f5b149,N,Payment gateway error
c7985ae5-f658-4c45-b2d2-91455101e8a6,5e54b802-21e0-4ed8-b2cb-1c9426a75e71,Steven Davidson,c167f266-6c9d-467a-980c-3e5035b8ecfa,Home & Kitchen,Shampoo,Wallet,5,479.96,2023-09-20 20:25:14,Germany,Hamburg,Amazon,813bc1c7-35fd-4574-b3bc-7eb2f881fffb,N,Payment gateway error
b863a2f5-85d7-43ec-a262-de088cdaf287,859f2c90-01c0-41f8-867c-d6bb1590122e,David Richardson,ee7e9654-e974-4323-a1c5-c4a161ea06c2,Home & Kitchen,Soap,Wallet,5,383.02,2020-05-21 21:53:00,USA,New York,Amazon,b8eaf79a-b886-408a-b0db-f5a4e89daa4c,Y,Payment Successful
