Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Payment_Type,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
InvalidUUID,123e4567-e89b-12d3-a456-426614174000,Customer_0,123e4567-e89b-12d3-a456-426614174000,Furniture,Widget D,Credit Card,1,689.11,2023-12-21 22:24:23.340572,France,City_0,Flipkart,123e4567-e89b-12d3-a456-426614174000,N,Card expired
123e4567-e89b-12d3-a456-426614174001,InvalidCustomerId,Customer_1,123e4567-e89b-12d3-a456-426614174001,Electronics,Widget D,PayPal,4,476.7,2024-04-19 22:24:23.340572,Canada,City_1,Flipkart,123e4567-e89b-12d3-a456-426614174001,N,Payment gateway error
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Customer_2,InvalidProductId,Books,Widget D,Credit Card,4,971.21,2024-09-02 22:24:23.340572,Germany,City_2,Flipkart,123e4567-e89b-12d3-a456-426614174002,N,
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Customer_3,123e4567-e89b-12d3-a456-426614174003,InvalidCategory,Widget B,PayPal,3,879.54,2024-05-08 22:24:23.340572,Canada,City_3,Flipkart,123e4567-e89b-12d3-a456-426614174003,Y,
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Customer_4,123e4567-e89b-12d3-a456-426614174004,Electronics,Widget A,Credit Card,-1,15.06,2024-07-16 22:24:23.340572,Canada,City_4,Flipkart,123e4567-e89b-12d3-a456-426614174004,Y,
123e4567-e89b-12d3-a456-426614174000,123e4567-e89b-12d3-a456-426614174000,Customer_5,123e4567-e89b-12d3-a456-426614174000,Books,Widget A,Credit Card,5,InvalidPrice,2024-03-12 22:24:23.340572,Germany,City_5,Walmart,123e4567-e89b-12d3-a456-426614174000,N,
123e4567-e89b-12d3-a456-426614174001,123e4567-e89b-12d3-a456-426614174001,Customer_6,123e4567-e89b-12d3-a456-426614174001,Electronics,Widget D,Bank Transfer,2,720.63,2024-03-24 22:24:23.340572,France,InvalidCity,Shopify,123e4567-e89b-12d3-a456-426614174001,Y,
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Customer_7,123e4567-e89b-12d3-a456-426614174002,Furniture,Widget D,PayPal,4,663.84,2024-02-15 22:24:23.340572,Germany,City_7,Shopify,InvalidUUID,Y,Payment gateway error
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Customer_8,123e4567-e89b-12d3-a456-426614174003,Books,Widget B,Gift Card,4,169.23,2023-12-21 22:24:23.340572,Germany,City_8,Flipkart,123e4567-e89b-12d3-a456-426614174003,N,Payment gateway error
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Customer_9,123e4567-e89b-12d3-a456-426614174004,Toys,Widget C,Bank Transfer,1,605.47,2024-05-21 22:24:23.340572,Germany,City_9,Walmart,123e4567-e89b-12d3-a456-426614174004,Y,
